year,catch
1961,514
1962,514
1963,514
1964,514
1965,514
1966,2469
1967,2276
1968,1697
1969,1315
1970,1886
1971,1185
1972,4477
1973,10007
1974,4883
1975,2776
1976,3045
1977,9449
1978,8409
1979,7579
1980,7848
1981,7433
1982,4639
1983,6331
1984,3457
1985,1539
1986,1221
1987,4963
1988,5138
1989,2584
1990,7706
1991,17388.13
1992,21916.17
1993,19078.32
1994,22918.44
1995,18278.79
1996,22483.68
1997,16363.23
1998,12957.91
1999,16142.02
2000,24211.24
2001,19925.51
2002,21213.23
2003,30253.67
2004,15757.642
2005,19989.206
2006,27739.111
2007,25507.517
2008,29269.818
2009,24911.851
2010,24496.3849
2011,31139.4105
2012,20886.2629
2013,21966.7804
2014,36661.6317
2015,19417.9578
2016,20056.6943
2017,27143.9322
2018,18964.5301
2019,24714.3569
2020,21243.0799
2021,9988.4091
2022,11634.7398
2023,7723.3493
