year,biomass,se,lci,uci
1990,1907177,244308,1428334,2386020
1993,1553616,100227,1357171,1750060
1996,1639632,114633,1414952,1864312
1999,1262151,99311,1067501,1456801
2001,1360738,151700,1063407,1658069
2003,2819095,370652,2092618,3545572
2005,1899587,125802,1653015,2146159
2007,1936020,150086,1641851,2230190
2009,1772029,159402,1459601,2084457
2011,1747339,179800,1394930,2099747
2013,1290727,130349,1035244,1546211
2015,1661281,134018,1398606,1923956
2017,1053695,76190,904361,1203028
2019,1076727,67327,944767,1208687
2021,1132192,83427,968675,1295709
2023,1192608,124651,948292,1436923
