item,y1,y2,y3,y4
M (natural mortality),0.2,0.2,0.2,0.2
Tier,3a,3a,3a,3a
Projected total (age 1+) biomass (t),1293990,1249520,1294750,1311230
Projected female spawning biomass (t),693043,640026,698296,694802
B100%,1018700,1018700,1018700,1018700
B40%,407478,407478,407478,407478
B35%,356544,356544,356544,356544
FOFL,0.225,0.225,0.225,0.225
maxFABC,0.185,0.185,0.185,0.185
FABC,0.185,0.185,0.185,0.185
OFL (t),142258,132135,142379,141979
maxABC (t),119059,110583,119160,118832
ABC (t),119059,110583,119160,118832
blank,NA,NA,NA,NA
Status,2023,2024,2023,2024
Overfishing,NA,NA,NA,NA
Overfished,NA,NA,NA,NA
Approaching overfished,NA,NA,NA,NA
